[0]     ItemNum                 !ERROR! 7       item: ItemName                        ("name 'NoMatchError' is not defined",)
[1]     *crv 36 pk              !ERROR! 10      item: CRV $1.80                       ("name 'NoMatchError' is not defined",)
[2]     *crv05                  !ERROR! 6       item: CRV 5 cents                     ("name 'NoMatchError' is not defined",)
[3]     *crv1.75                !ERROR! 8       item: CRV $1.75                       ('EAN code can only contain numbers.',)
[4]     *crv10                  !ERROR! 6       item: CRV 10 cents                    ("name 'NoMatchError' is not defined",)
[5]     *crv100                 !ERROR! 7       item: CRV 1.00 cents                  ("name 'NoMatchError' is not defined",)
[6]     *crv120                 !ERROR! 7       item: CRV 1.20 cents                  ("name 'NoMatchError' is not defined",)
[7]     *crv150                 !ERROR! 7       item: CRV 1.50 cents                  ("name 'NoMatchError' is not defined",)
[8]     *crv20                  !ERROR! 6       item: CRV 20 cents                    ("name 'NoMatchError' is not defined",)
[9]     *crv200                 !ERROR! 7       item: CRV 2.00                        ("name 'NoMatchError' is not defined",)
[10]    *crv30                  !ERROR! 6       item: CRV 30 cents                    ("name 'NoMatchError' is not defined",)
[11]    *crv40                  !ERROR! 6       item: CRV 40 cents                    ("name 'NoMatchError' is not defined",)
[12]    *crv45                  !ERROR! 6       item: CRV 45 cents                    ("name 'NoMatchError' is not defined",)
[13]    *crv60                  !ERROR! 6       item: CRV 60 cents                    ("name 'NoMatchError' is not defined",)
[14]    *crv75                  !ERROR! 6       item: CRV 75 cents                    ("name 'NoMatchError' is not defined",)
[15]    *crv90                  !ERROR! 6       item: CRV 90 cents                    ("name 'NoMatchError' is not defined",)
[34]    010700060808            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[35]    010700529855            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[36]    010700529923            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[37]    010700533661            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[38]    010700807229            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[39]    010700807274            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[40]    010700858535            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[41]    01072234                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[42]    010900000406            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[43]    010900002899            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[44]    010900060547            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[45]    010900080316            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[46]    01091437                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[47]    01092931                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[48]    010986007634            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[49]    011034410055            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[50]    011034420054            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[51]    011034500053            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[52]    011132000400            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[53]    011132125318            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[54]    011132125523            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[55]    011132135973            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[56]    011152028439            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[57]    011210000018            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[58]    011210000032            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[59]    012000016431            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[60]    012000016721            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[61]    012000021367            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[62]    012000021381            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[63]    012000024528            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[64]    012000027215            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[65]    012000028458            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[66]    012000028496            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[67]    012000028625            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[68]    012000030284            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[69]    012000046445            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[70]    012000071744            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[71]    012000071751            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[72]    012000101908            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[73]    012000130274            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[74]    012000140709            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[75]    012000161155            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[76]    012000161162            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[77]    012000161476            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[78]    012000162527            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[79]    012000162541            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[80]    012000171093            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[81]    012000171116            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[82]    012000171741            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[83]    012000171765            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[84]    012000180941            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[85]    012000181030            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[86]    012000181054            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[87]    012000181429            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[88]    012000181443            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[89]    012000182822            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[90]    012000190063            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[91]    012000191435            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[92]    012000193293            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[93]    012000202384            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[94]    012000204951            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[95]    012000205200            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[96]    012000211980            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[97]    012000213465            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[98]    012000213489            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[99]    012000213519            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[100]   012000221514            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[101]   012000286179            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[102]   012000286186            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[103]   012000286193            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[104]   012000286209            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[105]   012000286223            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[106]   012000384196            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[107]   012000809941            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[108]   012000809965            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[109]   012000813313            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[110]   012005005713            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[111]   012005427584            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[112]   012005427591            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[113]   01201303                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[114]   012044000274            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[115]   012044044643            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[116]   012044045664            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[117]   01208500                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[118]   01212901                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[119]   01215704                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[120]   01215908                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[121]   01217702                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[122]   01218002                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[123]   01223004                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[124]   01223305                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[125]   01229406                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[126]   01229707                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[127]   012300107891            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[128]   012300107921            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[129]   012300108072            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[130]   012300108102            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[131]   012300126298            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[132]   012300127318            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[133]   012300127370            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[134]   012300127493            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[135]   012300200158            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[136]   012300200592            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[137]   012300200608            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[138]   012300259132            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[139]   012300265706            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[140]   012300302883            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[141]   012300327909            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[142]   012300509657            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[143]   012300510295            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[144]   012300707992            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[145]   012300708999            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[146]   01230137                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[147]   01230331                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[148]   01230739                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[149]   012354001350            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[150]   012354004290            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[151]   012354005006            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[152]   012354007437            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[153]   01235530                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[154]   01239439                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[155]   01245200                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[156]   012546011075            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[157]   012546011099            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[158]   012546011112            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[159]   012546011136            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[160]   012546011471            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[161]   012546011563            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[162]   012546011600            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[163]   012546011624            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[164]   012546011662            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[165]   012546012409            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[166]   012546312417            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[167]   012546312554            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[168]   012546315012            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[169]   012546315098            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[170]   012546600026            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[171]   012546600347            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[172]   012546915199            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[173]   012546917568            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[174]   012546917582            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[175]   012546917698            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[176]   012547433654            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[177]   012587000106            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[178]   012587000700            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[179]   012587000809            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[180]   01272903                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[181]   01273902                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[182]   01275900                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[183]   012957100016            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[184]   012993101619            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[185]   013000307444            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[186]   01312403                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[187]   01373909                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[188]   013971021004            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[189]   013971021028            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[190]   013971040005            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[191]   014045031165            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[192]   014045324076            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[193]   01406922                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[194]   014100043706            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[195]   014100075233            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[196]   014113911856            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[197]   014800103816            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[198]   014800511758            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[199]   014800512748            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[200]   014800512755            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[201]   014800513240            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[202]   014800515336            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[203]   015786001042            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[204]   015786001059            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[205]   015786001080            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[206]   015786001097            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[207]   015786001141            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[208]   015786001158            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[209]   015786001165            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[210]   015786001219            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[211]   015786001226            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[212]   015786001233            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
